satisfaccion,evaluacion,proyectos,promedio_horas_mes,semestre,accidente,renunciar,ascenso_5years,departamento,salario
8.7,8.9,4,219,4,0,0,0,mantenimiento,alto
6,5.5,4,204,3,0,0,0,mantenimiento,alto
7,7.4,3,157,3,0,0,0,mantenimiento,alto
1.5,9.4,5,244,6,0,0,0,mantenimiento,alto
4.5,7.5,3,122,3,0,0,0,soporte,alto
4.3,9,5,282,5,0,0,0,soporte,bajo
9.2,4.6,5,195,5,0,0,0,soporte,bajo
7.2,8.1,4,134,2,0,0,0,soporte,bajo
9.4,8.4,3,210,2,0,0,0,soporte,bajo
7.4,5.2,3,170,3,0,0,0,soporte,bajo
4.8,7.1,2,140,3,1,0,0,soporte,bajo
8.4,7.6,5,215,2,1,0,0,soporte,bajo
5.3,8.6,3,150,3,0,0,0,soporte,bajo
4.5,8.8,5,268,3,1,0,0,soporte,medio
9.5,6.7,4,270,4,0,0,0,soporte,medio
9.5,5.8,3,163,3,0,0,0,mantenimiento,medio
7,8.5,3,188,2,0,0,0,mantenimiento,medio
1.9,9.3,3,110,4,0,0,0,mantenimiento,medio
7.4,9.1,5,135,3,0,0,0,administración,medio
5.4,5.9,4,228,3,0,0,0,informática,medio
5,6.9,5,172,2,0,0,0,informática,medio
9.5,7.2,3,168,5,0,0,0,informática,medio
6.9,6.9,5,160,3,0,0,0,informática,medio
2.4,7.4,5,282,3,0,0,0,informática,medio
9.6,7,5,184,2,1,0,0,desarrollo de producto,medio
6.1,5,4,217,4,1,0,0,desarrollo de producto,medio
7.6,5.3,6,281,3,0,0,0,desarrollo de producto,medio
6.1,6.4,3,245,2,0,0,0,desarrollo de producto,medio
3.7,4.8,2,285,5,0,0,0,informática,medio
8.1,9,4,165,3,0,0,0,Investigación,medio
5.9,9,3,146,3,0,0,0,Investigación,medio
7.3,8.2,3,133,3,0,0,0,Investigación,medio
8.7,5.7,2,181,6,0,0,0,Investigación,medio
6.7,6.6,6,152,3,0,0,0,Investigación,medio
9.6,7.8,2,284,3,0,0,0,Investigación,medio
9.8,5.1,3,157,3,0,0,0,mercadotecnia,medio
5,5.8,4,165,2,0,0,0,ventas,alto
4.9,7.1,3,255,2,1,0,0,contabilidad,bajo
1.3,6.5,4,194,4,0,0,0,soporte,medio
5.7,6.8,3,102,6,0,0,0,mantenimiento,medio
5.1,9.4,4,247,2,0,0,0,administración,medio
9.9,6.9,3,206,2,0,0,0,mercadotecnia,medio
8,7.7,3,171,2,0,0,0,mercadotecnia,medio
5.6,3.9,5,263,4,0,0,0,mercadotecnia,medio
9.6,8.4,4,272,4,1,0,0,ventas,medio
9.6,5,3,158,2,1,0,0,ventas,medio
8.7,5.3,6,216,6,1,0,0,ventas,medio
6.1,9,5,113,3,0,0,0,ventas,medio
1.8,6,3,140,4,0,0,0,ventas,bajo
2.4,7.7,5,178,5,0,0,0,ventas,bajo
8.6,4.8,4,153,3,0,0,0,ventas,bajo
2.5,6.2,6,271,5,0,0,0,ventas,bajo
2.5,8.2,3,269,5,0,0,0,ventas,bajo
6.3,5.5,3,160,3,0,0,0,ventas,bajo
8.9,6.8,4,258,2,1,0,0,ventas,bajo
8.7,8.2,4,251,3,0,0,0,ventas,alto
8.7,7.8,3,170,2,0,0,0,ventas,bajo
7.1,9.9,4,238,4,1,0,0,ventas,alto
9.8,8.7,4,152,2,0,0,0,ventas,alto
1.6,5.1,3,262,6,0,0,0,ventas,bajo
8.3,6.8,4,273,2,0,0,0,ventas,bajo
6.5,7.7,3,233,2,0,0,0,ventas,alto
9.5,6.4,3,262,3,0,0,0,ventas,bajo
6.7,6.7,3,183,3,0,0,0,contabilidad,medio
5.3,8.8,3,150,3,1,0,0,contabilidad,alto
7.4,9.4,3,132,3,0,0,0,contabilidad,medio
7.7,7.9,3,200,4,0,0,0,recursos humanos,medio
1.3,7.2,4,148,5,0,0,0,recursos humanos,medio
8.2,9.2,3,187,3,1,0,0,recursos humanos,medio
8.8,6.5,4,224,2,0,0,0,recursos humanos,alto
8.9,5,4,147,2,0,0,0,mantenimiento,medio
8.5,5.1,3,153,4,0,0,0,mantenimiento,medio
9.3,8.7,5,154,2,0,0,0,mantenimiento,medio
6.2,7,5,270,3,0,0,0,mantenimiento,alto
5.8,9.6,3,202,2,0,0,0,mantenimiento,medio
9.8,5,4,264,3,0,0,0,mantenimiento,alto
5.2,4.5,2,145,3,0,0,0,mantenimiento,bajo
7.6,4.9,3,138,2,1,0,0,mantenimiento,medio
7.3,9.1,3,238,2,0,0,0,mantenimiento,medio
7.4,6.4,4,147,5,0,0,0,mantenimiento,medio
4.9,4.8,3,190,2,0,0,0,mantenimiento,medio
9.1,9.7,4,183,3,0,0,0,soporte,bajo
7.4,9.2,5,255,3,0,0,0,soporte,bajo
8.6,8.2,4,252,4,0,0,0,soporte,bajo
5.2,4.7,6,141,5,1,0,0,soporte,bajo
9.5,8.1,3,260,2,0,0,0,soporte,bajo
6.5,9.8,3,136,3,0,0,0,soporte,bajo
7,5.6,4,182,2,0,0,0,soporte,bajo
1.4,6.6,6,142,5,0,0,0,soporte,bajo
9.2,5.3,2,261,4,0,0,0,soporte,bajo
5.4,6,3,209,2,0,0,0,soporte,bajo
7.6,9.5,2,156,4,0,0,0,soporte,alto
7.8,6.6,4,214,2,0,0,0,mantenimiento,bajo
8.5,8.6,4,250,3,0,0,0,mantenimiento,bajo
7.8,8,4,197,3,1,0,0,mantenimiento,bajo
5.5,7.2,3,149,3,0,0,0,administración,bajo
6.8,6.1,5,271,2,0,0,0,informática,alto
9.1,6.8,4,187,2,0,0,0,informática,bajo
7.6,5.6,3,154,2,0,0,0,informática,bajo
1.5,6.7,4,264,3,0,0,0,informática,bajo
9.5,6,2,144,3,0,0,0,informática,alto
7.4,3.7,6,200,3,0,0,0,desarrollo de producto,bajo
9.2,5.6,5,197,2,1,0,0,desarrollo de producto,medio
6.4,8.9,3,175,3,1,0,0,desarrollo de producto,alto
9.6,9,3,161,3,0,0,0,desarrollo de producto,medio
2.1,7.2,3,245,6,0,0,0,informática,alto
8.5,6.7,3,167,4,0,0,0,Investigación,medio
5.2,8.6,5,168,3,0,0,0,Investigación,medio
5.4,8.1,5,261,6,0,0,0,Investigación,medio
5.6,8.1,5,274,4,0,0,0,Investigación,medio
5.9,7.9,4,181,3,0,0,0,Investigación,medio
8.8,5.8,5,266,3,1,0,0,mercadotecnia,medio
7,8.4,4,184,3,0,0,0,ventas,medio
9.5,5.8,3,193,2,0,0,0,contabilidad,medio
8.3,8.8,3,217,2,1,0,0,soporte,alto
7.6,6.2,4,197,3,0,0,0,mantenimiento,bajo
8.2,9.2,5,252,3,0,0,0,administración,medio
5.5,9.7,4,136,3,0,0,0,mercadotecnia,medio
8.9,5.5,5,194,4,0,0,0,mercadotecnia,medio
6.6,9.4,4,190,3,0,0,0,mercadotecnia,medio
4.1,6.1,3,185,2,1,0,0,ventas,medio
8.3,7.7,3,232,2,1,0,0,ventas,medio
8.8,7.2,3,200,2,1,0,0,ventas,medio
5.6,6.6,5,155,2,0,0,0,ventas,medio
5.3,7.2,3,228,3,0,0,0,ventas,medio
8,4.1,3,188,4,0,0,0,ventas,alto
9.5,7.8,4,245,3,0,0,0,ventas,bajo
9,8.8,4,205,2,0,0,0,ventas,bajo
5,9.7,4,269,3,0,0,0,ventas,bajo
4,5.9,3,207,6,0,0,0,ventas,alto
5.2,8.5,3,250,4,0,0,0,ventas,bajo
5.1,5,5,251,3,1,0,0,ventas,bajo
8.4,6.2,5,217,3,0,0,0,ventas,bajo
7.8,9.8,5,252,3,0,0,0,ventas,alto
9.1,7.1,2,159,3,1,0,0,ventas,bajo
5.9,7.1,5,169,2,0,0,0,ventas,bajo
6.9,9.7,5,105,4,0,0,0,ventas,bajo
8.7,9.3,4,268,2,0,0,0,ventas,bajo
6.6,10,5,145,2,0,0,0,ventas,bajo
5,5.4,4,165,3,0,0,0,contabilidad,bajo
9.5,7.5,3,253,4,0,0,0,contabilidad,bajo
7.7,6.4,3,254,3,0,0,0,contabilidad,medio
6.6,5,3,218,2,0,0,0,recursos humanos,medio
6.1,9.8,3,138,5,1,0,0,recursos humanos,medio
7,8.7,5,239,3,0,0,0,recursos humanos,medio
8.9,7.1,5,182,2,1,0,0,recursos humanos,medio
6,7.8,4,152,3,1,0,0,mantenimiento,medio
6.2,5.1,3,222,3,1,0,0,mantenimiento,medio
5.9,9,2,219,2,1,0,0,mantenimiento,medio
6.9,5.9,4,266,4,0,0,0,mantenimiento,medio
3.6,9.4,3,113,5,1,0,0,mantenimiento,medio
5.9,9.3,4,146,3,0,0,0,mantenimiento,medio
5,5.1,5,238,4,0,0,0,mantenimiento,medio
5.3,9.9,3,188,3,0,0,0,mantenimiento,alto
8.4,9,4,237,2,0,0,0,mantenimiento,bajo
5.1,9.5,4,201,3,0,0,0,mantenimiento,medio
5.3,5.6,5,188,3,0,0,0,mantenimiento,medio
9.8,6.3,3,137,3,0,0,0,soporte,medio
9.5,8.1,4,263,3,0,0,0,soporte,medio
1.3,7.6,5,217,3,0,0,0,soporte,bajo
5,6.4,4,213,4,0,0,0,soporte,bajo
9.3,7.6,3,244,3,0,0,0,soporte,bajo
5,8.7,3,252,2,0,0,0,soporte,bajo
6.6,8.4,4,168,2,0,0,0,soporte,bajo
8.9,7.9,4,212,3,0,0,0,soporte,bajo
4.6,4.3,4,258,3,0,0,0,soporte,bajo
6.7,6,4,210,3,0,0,0,soporte,bajo
9.6,9,4,246,3,0,0,0,soporte,bajo
9.8,7.6,4,221,3,1,0,0,mantenimiento,bajo
6.7,5.7,5,215,4,0,0,0,mantenimiento,bajo
7.2,7.2,4,175,4,0,0,0,mantenimiento,bajo
6.5,4.9,5,221,2,0,0,0,administración,bajo
7.2,6.7,5,219,3,0,0,0,informática,bajo
7.8,5.8,3,154,3,0,0,0,informática,bajo
9.3,5.6,3,266,2,0,0,0,informática,bajo
7.3,8.5,5,224,4,0,0,0,informática,bajo
2,5.7,4,269,5,1,0,0,informática,bajo
4.7,5,4,159,2,0,0,0,desarrollo de producto,bajo
5.6,6.2,4,247,3,0,0,0,desarrollo de producto,bajo
7.2,8.6,4,137,2,0,0,0,desarrollo de producto,bajo
9.1,5.6,4,251,4,0,0,0,desarrollo de producto,medio
7.9,4.9,5,210,3,0,0,0,informática,medio
5.3,7.5,2,123,4,0,0,0,Investigación,medio
1.4,5.1,4,253,6,0,0,0,Investigación,medio
7.8,9.2,5,242,4,0,0,0,Investigación,medio
5.2,7.4,3,238,3,0,0,0,Investigación,medio
9.4,6.8,5,151,2,0,0,0,Investigación,medio
8.3,8,4,158,4,0,0,0,mercadotecnia,medio
4.4,6.8,2,120,2,0,0,0,mercadotecnia,medio
7.2,7.4,3,187,2,0,0,0,ventas,medio
8.4,5.8,3,140,3,0,0,0,contabilidad,medio
7.6,9.9,3,164,2,0,0,0,soporte,medio
9.2,9.4,5,253,2,0,0,0,mantenimiento,alto
5.8,9.3,5,235,2,0,0,0,administración,bajo
8.5,8.1,4,189,4,0,0,0,mercadotecnia,medio
7.4,5.1,4,246,3,1,0,0,mercadotecnia,medio
7.4,8.7,4,258,2,0,0,0,mercadotecnia,medio
7.2,8,3,158,3,0,0,0,ventas,medio
7.6,9.8,4,173,3,1,0,0,ventas,bajo
8.5,7.2,3,201,3,0,0,0,ventas,bajo
8.2,4.9,5,185,3,0,0,0,ventas,bajo
6,9.3,5,270,3,1,0,0,ventas,bajo
3.9,6.4,3,152,2,0,0,0,ventas,bajo
8.3,5.3,3,211,4,1,0,0,ventas,bajo
7,9.2,3,162,3,1,0,0,ventas,bajo
8.4,9.7,4,253,2,1,0,0,ventas,bajo
9,7.7,4,236,3,0,0,0,ventas,bajo
1.8,8.4,4,231,5,0,0,0,ventas,bajo
5.2,7.1,2,231,2,0,0,0,ventas,bajo
8.7,5.1,4,233,3,0,0,0,ventas,bajo
6,7.9,5,217,2,0,0,0,ventas,bajo
7.2,9.3,4,174,2,0,0,0,ventas,bajo
4.8,6.4,4,227,3,0,0,0,ventas,bajo
7.5,5.3,3,222,2,0,0,0,ventas,bajo
8.5,5.5,2,207,6,0,0,0,ventas,bajo
3.9,4.1,6,115,3,0,0,0,ventas,bajo
6.1,6.8,3,254,2,0,0,0,contabilidad,bajo
6,6.1,4,170,3,0,0,0,contabilidad,bajo
5.7,6.4,2,206,3,0,0,0,contabilidad,bajo
1.9,6.8,5,149,3,0,0,0,recursos humanos,medio
4.8,7.7,3,197,3,0,0,0,recursos humanos,medio
6.9,7.5,4,261,3,0,0,0,recursos humanos,medio
7,5.5,4,256,4,0,0,0,recursos humanos,medio
6.5,9.2,3,219,3,0,0,0,mantenimiento,medio
8.1,9.6,4,143,3,1,0,0,mantenimiento,medio
8.5,9.5,4,171,3,0,0,0,mantenimiento,medio
9.3,7.6,4,207,2,0,0,0,mantenimiento,medio
7.2,9.4,4,235,3,0,0,0,mantenimiento,medio
4.9,5.5,2,173,3,0,0,0,mantenimiento,medio
9.4,4.7,5,131,6,0,0,0,mantenimiento,medio
8.1,8.4,4,143,2,0,0,0,mantenimiento,medio
9.2,7.8,5,193,4,0,0,0,mantenimiento,alto
9.7,8.2,3,135,2,0,0,0,mantenimiento,bajo
9.8,6.1,4,265,2,1,0,0,mantenimiento,medio
4.4,4.5,3,133,2,1,0,0,soporte,medio
7.2,8.7,4,184,4,0,0,0,soporte,medio
8,7.3,5,135,3,0,0,0,soporte,medio
6,7.2,4,267,4,0,0,0,soporte,bajo
8.9,6.5,4,184,3,0,0,0,soporte,bajo
6.9,5.7,5,227,2,0,0,0,soporte,bajo
5.4,8.1,4,257,2,0,0,0,soporte,bajo
9.7,7.5,5,235,3,1,0,0,soporte,bajo
3.7,4,4,161,2,0,0,0,soporte,bajo
7.3,5.2,4,215,3,0,0,0,soporte,bajo
5.7,6.9,4,146,3,0,0,0,soporte,bajo
8.6,6.6,4,191,2,0,0,0,mantenimiento,bajo
8.3,8.5,4,261,3,0,0,0,mantenimiento,bajo
1.9,5.2,5,200,5,0,0,0,mantenimiento,bajo
5.5,9.3,4,239,4,0,0,0,administración,bajo
6,6.5,4,160,2,0,0,0,informática,bajo
6.2,7.1,3,177,3,1,0,0,informática,bajo
6.5,5.5,5,215,2,0,0,0,informática,bajo
4,4.8,4,97,2,0,0,0,informática,bajo
8.2,7.8,5,231,2,1,0,0,informática,bajo
7.5,6.9,2,257,2,1,0,0,desarrollo de producto,bajo
8.3,5.3,3,232,3,1,0,0,desarrollo de producto,bajo
7.7,7.8,4,212,3,0,0,0,desarrollo de producto,bajo
5.9,9.8,4,198,3,0,0,0,desarrollo de producto,bajo
8,7.9,5,240,4,0,0,0,informática,medio
8.4,5.5,3,242,3,0,0,0,Investigación,medio
8.8,7.1,4,250,3,0,0,0,Investigación,medio
3.7,9,3,229,6,0,0,0,Investigación,medio
8.8,6.6,4,133,2,0,0,0,Investigación,medio
6.9,8.5,3,200,2,0,0,0,Investigación,medio
5.4,4.9,2,155,2,1,0,0,mercadotecnia,medio
7.6,5.7,5,139,4,0,0,0,ventas,medio
5.1,5.8,4,272,3,0,0,0,contabilidad,medio
1.6,5.2,3,100,4,0,0,0,soporte,medio
6.5,6,5,160,3,0,0,0,mantenimiento,medio
5.4,8.1,5,195,4,0,0,0,administración,medio
6.6,6.8,4,152,3,0,0,0,mercadotecnia,alto
9.5,6.5,5,182,3,0,0,0,mercadotecnia,bajo
8.3,5.7,3,137,2,0,0,0,mercadotecnia,medio
9.8,8.4,4,182,3,0,0,0,ventas,medio
7.2,7.2,3,217,2,0,0,0,ventas,medio
7.1,6.2,4,192,4,0,0,0,ventas,medio
3.6,6.5,3,116,2,1,0,0,ventas,bajo
5.5,6.5,4,170,4,0,0,0,ventas,bajo
6.4,5.2,3,223,3,0,0,0,ventas,bajo
6.2,5.7,3,174,2,0,0,0,ventas,bajo
10,9.5,3,193,6,0,0,0,ventas,bajo
9.1,9.1,6,167,2,1,0,0,ventas,bajo
8.1,6.7,4,225,3,0,0,0,ventas,bajo
7.1,9.2,4,248,3,1,0,0,ventas,bajo
9.7,7.4,3,104,5,0,0,0,ventas,bajo
7.5,8.6,6,148,4,0,0,0,ventas,bajo
6.8,10,3,148,4,1,0,0,ventas,bajo
8.7,6.8,5,187,3,0,0,0,ventas,bajo
9.6,5.7,3,151,2,0,0,0,ventas,bajo
4.1,8.6,6,215,5,0,0,0,ventas,bajo
8.1,6.1,4,142,4,0,0,0,ventas,bajo
6.8,10,6,258,5,0,0,0,ventas,bajo
6.3,5.6,4,228,3,0,0,0,contabilidad,bajo
6,8.4,2,221,3,0,0,0,contabilidad,bajo
6.6,9.7,3,263,3,0,0,0,contabilidad,medio
6.9,8.2,4,273,4,0,0,0,recursos humanos,medio
2.3,3.7,3,247,4,0,0,0,recursos humanos,medio
5.2,6.3,3,225,3,0,0,0,recursos humanos,medio
6.5,8.6,4,269,2,1,0,0,recursos humanos,medio
7.8,4,6,174,3,0,0,0,mantenimiento,medio
6,6.5,5,201,2,0,0,0,mantenimiento,medio
9,6.2,3,254,3,0,0,0,mantenimiento,medio
5.9,9.5,5,254,2,0,0,0,mantenimiento,medio
8.9,7.8,3,185,2,1,0,0,mantenimiento,medio
9.6,8.5,4,200,4,0,0,0,mantenimiento,medio
6.8,7.6,3,190,3,1,0,0,mantenimiento,medio
5.2,7.2,2,160,2,0,0,0,mantenimiento,alto
6.8,9.4,3,264,2,0,0,0,mantenimiento,bajo
6,5.9,3,172,3,0,0,0,mantenimiento,medio
2.8,8.3,5,279,4,0,0,0,mantenimiento,medio
9.8,5.4,5,260,3,0,0,0,soporte,medio
6.7,5.2,4,262,2,0,0,0,soporte,medio
8.6,6,5,134,2,1,0,0,soporte,bajo
8.3,9,3,195,3,0,0,0,soporte,bajo
7.9,8.6,3,139,3,0,0,0,soporte,bajo
5.4,8.6,4,205,5,0,0,0,soporte,bajo
5.1,8.6,5,212,2,0,0,0,soporte,bajo
7.5,6.5,4,148,2,0,0,0,soporte,bajo
5.1,6.7,4,228,3,0,0,0,soporte,bajo
7.3,7.4,5,230,3,0,0,0,soporte,bajo
1.7,4,4,286,3,0,0,0,soporte,bajo
8.8,5.9,4,142,3,0,0,0,mantenimiento,bajo
7.6,7.9,3,161,3,0,0,0,mantenimiento,bajo
2.9,7.7,3,152,3,1,0,0,mantenimiento,bajo
6.2,9.7,4,266,3,0,0,0,administración,bajo
5,8.5,2,143,3,0,0,0,informática,bajo
1.6,6.5,5,165,3,0,0,0,informática,bajo
1.8,9.9,4,204,6,0,0,0,informática,bajo
8.6,6.8,4,170,2,0,0,0,informática,bajo
6.8,5.2,5,203,3,0,0,0,informática,bajo
6.8,8.5,3,199,3,0,0,0,desarrollo de producto,bajo
8.9,7.8,4,223,3,0,0,0,desarrollo de producto,bajo
8.6,8.8,4,220,2,0,0,0,desarrollo de producto,bajo
4.3,4.1,4,190,3,0,0,0,desarrollo de producto,medio
8.5,5.8,4,143,6,1,0,0,informática,medio
9.4,8,5,111,4,0,0,1,Investigación,medio
5.8,7.1,4,145,3,1,0,1,Investigación,medio
4.3,6,3,138,3,0,0,1,Investigación,medio
7.2,4.9,3,203,3,0,0,1,Investigación,medio
9.5,9.6,5,175,3,1,0,1,Investigación,medio
3.5,6.7,3,119,3,0,0,1,mercadotecnia,medio
7.7,7.9,3,157,3,0,0,1,ventas,medio
7.4,7,5,135,2,0,0,1,contabilidad,medio
5,6,4,200,2,0,0,1,soporte,medio
8.7,5.6,4,121,2,0,0,1,mantenimiento,medio
5.5,4.8,3,162,3,0,0,1,administración,alto
8,6.5,3,135,3,0,0,1,mercadotecnia,bajo
4.9,5.2,4,183,2,0,0,1,mercadotecnia,medio
5.4,9.2,4,228,3,0,0,1,mercadotecnia,medio
2.1,8.7,4,148,5,0,0,0,ventas,medio
7.7,7.7,3,219,2,0,0,0,ventas,medio
5.3,7.3,4,147,3,0,0,0,ventas,bajo
8.9,4.9,5,165,6,0,0,0,ventas,bajo
2.5,5.9,4,218,3,1,0,0,ventas,bajo
5.3,5.9,3,231,2,0,0,0,ventas,bajo
4.4,4.5,2,124,3,0,0,0,ventas,bajo
7,4.4,2,131,2,0,0,0,ventas,bajo
5.4,7.6,3,199,4,0,0,0,ventas,bajo
9,5.6,3,220,3,0,0,0,ventas,bajo
6.9,8,5,215,3,0,0,0,ventas,bajo
7.8,5.9,4,180,3,0,0,0,ventas,bajo
9.1,4.9,6,272,6,0,0,0,ventas,bajo
9.2,6.1,2,228,2,0,0,0,ventas,bajo
9.6,8.8,3,168,2,0,0,0,ventas,bajo
8,7.7,4,205,2,0,0,0,ventas,bajo
5.2,6.7,3,244,3,0,0,0,ventas,bajo
5.2,9.7,3,185,2,0,0,0,ventas,bajo
9.3,9.6,5,135,3,1,0,0,ventas,bajo
8.9,9,4,160,2,0,0,0,contabilidad,bajo
8.3,6.1,4,262,4,0,0,0,contabilidad,bajo
7,8.4,6,225,6,0,0,0,contabilidad,bajo
8.9,7.4,4,174,2,0,0,0,recursos humanos,bajo
2.1,3.7,6,266,3,0,0,1,recursos humanos,medio
6.7,7.8,4,241,4,0,0,1,recursos humanos,medio
7.3,9.7,3,245,2,0,0,1,recursos humanos,medio
8.5,5.1,3,261,4,0,0,1,mantenimiento,medio
5.4,8.5,4,157,3,0,0,1,mantenimiento,medio
7.4,9.4,3,286,6,0,0,1,mantenimiento,medio
7.1,6.5,4,263,2,1,0,1,mantenimiento,medio
7.6,5.2,2,229,3,0,0,1,mantenimiento,medio
8.5,5,4,159,2,0,0,1,mantenimiento,medio
8.2,8.9,4,196,3,0,0,1,mantenimiento,medio
7.1,7.9,4,133,3,0,0,1,mantenimiento,medio
7.9,6.5,5,228,3,0,0,1,mantenimiento,medio
8.6,5.6,4,247,3,0,0,1,mantenimiento,alto
9,7.8,5,215,3,0,0,1,mantenimiento,bajo
6.5,8,6,233,3,1,0,1,soporte,medio
5.3,7.4,5,237,2,0,0,1,soporte,medio
5.1,9.1,4,269,5,0,0,1,soporte,medio
10,7.6,6,246,3,1,0,1,soporte,medio
9.2,8.2,4,168,3,0,0,1,soporte,bajo
10,5.9,3,168,3,0,0,1,soporte,bajo
2.3,6.7,4,163,5,0,0,1,soporte,bajo
5.2,7.7,3,142,2,0,0,1,soporte,bajo
8,8.3,4,183,2,1,0,1,soporte,bajo
5.9,7.2,4,264,3,0,0,0,soporte,bajo
7.5,5.5,2,184,2,0,0,0,soporte,bajo
9.9,5.8,4,138,3,0,0,0,mantenimiento,bajo
5.7,7.6,3,195,3,0,0,0,mantenimiento,medio
8.7,9.5,4,251,3,0,0,0,mantenimiento,medio
5.2,4.7,3,108,5,0,0,0,administración,medio
5.7,9,3,144,2,0,0,0,informática,medio
3.2,7.7,6,112,4,0,0,0,informática,medio
6.6,8.1,2,201,3,0,0,0,informática,medio
5.3,8,4,204,3,0,0,0,informática,medio
5.5,6.2,5,226,3,0,0,0,informática,medio
6.6,9,3,217,4,0,0,0,desarrollo de producto,medio
6.9,9.2,4,149,2,0,0,0,desarrollo de producto,medio
6.7,9.9,5,237,3,0,0,0,desarrollo de producto,medio
7.5,3.7,3,256,3,0,0,0,desarrollo de producto,medio
7,9.8,4,194,2,0,0,0,informática,medio
7.1,7.4,3,202,2,0,0,0,Investigación,medio
9.7,6,5,133,2,0,0,0,Investigación,medio
5,4.8,3,246,3,0,0,0,Investigación,medio
3.4,9.2,3,206,3,0,0,0,Investigación,medio
6.7,7.4,3,204,3,0,0,0,Investigación,medio
7.8,9.8,4,157,3,0,0,0,mercadotecnia,medio
5.2,9.1,4,187,2,0,0,0,ventas,medio
9.1,5.1,2,211,2,0,0,0,contabilidad,medio
7.9,9.2,3,204,3,0,0,0,soporte,medio
8.3,5.3,5,182,2,1,0,0,mantenimiento,medio
7.4,7.6,3,244,3,0,0,0,administración,medio
7.7,9.7,3,184,3,1,0,0,mercadotecnia,medio
4.9,7.1,2,117,3,0,0,0,mercadotecnia,alto
9.4,8.9,3,230,3,1,0,0,mercadotecnia,alto
9.9,9.1,3,241,2,0,0,0,ventas,alto
6.9,8.4,3,227,3,1,0,0,ventas,alto
8.8,5.9,5,147,4,0,0,0,ventas,alto
8.9,9,3,240,3,0,0,0,ventas,alto
8,5.8,4,238,2,0,0,0,ventas,alto
2.2,8.9,4,262,4,0,0,0,ventas,alto
8.7,8.3,4,215,2,0,0,0,ventas,alto
6.6,6.6,3,211,4,0,0,0,ventas,alto
9,6.8,3,156,3,1,0,0,ventas,alto
9.5,5.4,4,180,5,0,0,0,ventas,alto
4.9,5.6,4,260,6,0,0,0,ventas,bajo
7.1,6.8,4,228,2,0,0,0,ventas,bajo
2,9.6,2,249,3,0,0,0,ventas,bajo
9.5,6.4,3,242,5,1,0,0,ventas,bajo
6.8,8,2,254,2,1,0,0,ventas,bajo
9.3,6.8,3,272,2,1,0,0,ventas,bajo
8.5,5.7,5,210,3,0,0,0,ventas,bajo
8.2,6.8,3,140,2,0,0,0,ventas,bajo
8.7,4.2,5,252,5,0,0,0,ventas,bajo
8.8,8.4,3,266,3,0,0,0,contabilidad,bajo
9.8,7.9,4,138,3,0,0,0,contabilidad,bajo
8.9,9.8,3,220,3,0,0,0,contabilidad,bajo
9.2,5.1,5,214,3,0,0,0,recursos humanos,bajo
4.8,6,2,121,5,0,0,0,recursos humanos,bajo
6.7,4.9,4,195,3,0,0,0,recursos humanos,bajo
8.4,5.5,3,135,3,0,0,0,recursos humanos,medio
9.7,7.8,4,261,2,0,0,0,mantenimiento,medio
6.5,5.3,5,205,3,1,0,0,mantenimiento,medio
7.9,8.7,5,240,2,1,0,0,mantenimiento,medio
7.5,7.5,2,141,4,0,0,0,mantenimiento,medio
6.9,6.4,4,200,3,0,0,0,mantenimiento,medio
8.5,6,4,257,3,0,0,0,mantenimiento,medio
3.4,4.1,2,141,3,0,0,0,mantenimiento,medio
9.7,6.8,3,185,2,0,0,0,mantenimiento,medio
3.9,9.9,6,235,6,0,0,0,mantenimiento,medio
5.4,8.1,4,264,4,0,0,0,mantenimiento,medio
7.8,6.7,4,260,3,0,0,0,mantenimiento,medio
4.9,7.9,4,158,3,0,0,0,soporte,alto
1.7,8.3,6,195,5,0,0,0,soporte,alto
9.8,8.1,3,180,2,1,0,0,soporte,alto
9,10,2,114,5,0,0,0,soporte,alto
2.4,8.9,5,228,4,1,0,0,soporte,alto
9.2,7.9,5,243,3,1,0,0,soporte,alto
3.6,7.2,3,179,3,0,0,0,soporte,alto
1.9,7.6,2,158,3,0,0,0,soporte,alto
7.5,7.6,4,254,4,0,0,0,soporte,bajo
9.1,8.1,3,220,3,1,0,0,soporte,bajo
7.2,9.5,5,171,3,0,0,0,soporte,bajo
6.2,6.4,4,142,2,0,0,0,mantenimiento,bajo
9.7,7.5,3,241,2,0,0,0,mantenimiento,bajo
6.9,6.4,3,275,3,0,0,0,mantenimiento,bajo
9.8,5.6,3,157,2,0,0,0,administración,bajo
6.2,5.3,5,169,3,0,0,0,informática,bajo
5.9,8.2,2,233,2,0,0,0,informática,medio
7.3,9.8,4,160,3,0,0,0,informática,medio
7.1,7.9,3,189,3,0,0,0,informática,medio
8.5,5.8,4,273,4,0,0,0,informática,medio
8,9.4,4,141,3,1,0,0,desarrollo de producto,medio
4.8,3.8,3,134,3,0,0,0,desarrollo de producto,medio
6.4,4,3,248,3,0,0,0,desarrollo de producto,medio
1.9,6.4,6,222,5,0,0,0,desarrollo de producto,medio
8.2,6.9,5,219,3,0,0,0,informática,medio
9.9,9.6,4,202,3,0,0,0,Investigación,medio
4.5,5.8,3,200,2,0,0,0,Investigación,medio
8.9,8.9,3,138,2,0,0,0,Investigación,medio
7.5,7.8,4,158,5,1,0,0,Investigación,medio
8,8.6,3,136,2,0,0,0,Investigación,medio
